element_type,id,now_cost,selected_by_percent,team,web_name
3,2368,45.0,0,1,Alfie Chang
2,84,50.0,0,1,Dion Sanderson
2,2800,50.0,0,1,Emmanuel Longelo
2,2253,55.0,0,1,Ethan Laird
3,215,50.0,0,1,Gary Gardner
3,2433,50.0,0,1,George Hall
1,2732,50.0,0,1,John Ruddy
3,2402,45.0,0,1,Jordan James
2,2778,40.0,0,1,Josh Williams
3,58,60.0,0,1,Juninho Bacuna
3,1645,60.0,0,1,Keshi Anderson
2,2642,50.0,0,1,Kevin Long
3,3813,60.0,0,1,Kijo Miyoshi
3,644,50.0,0,1,Krystian Bielik
2,623,50.0,0,1,Lee Buchanan
4,220,55.0,0,1,Lukas Jutkiewicz
2,201,50.0,0,1,Marc Roberts
2,2367,40.0,0,1,Marcel Oakley
1,117,45.0,0,1,Neil Leonard Dula Etheridge
2,957,40.0,0,1,Nico Gordon
4,1416,50.0,0,1,Sam Cosgrove
4,229,65.0,0,1,Scott Hogan
3,1609,60.0,0,1,Siriki Dembélé
3,498,60.0,0,1,Tyler Roberts
1,1265,40.0,0,1,Zach Jeacock
3,2555,50.0,0,2,Adam Wharton
3,3815,70.0,0,2,Arnor Sigurdsson
2,2770,45.0,0,2,Ashley Phillips
1,654,50.0,0,2,Aynsley Pears
2,1313,55.0,0,2,Callum Brittain
3,2508,50.0,0,2,Dilan Markanday
2,1077,55.0,0,2,Dominic Hyam
4,3586,50.0,0,2,Harry Leonard
2,1676,55.0,0,2,Harry Pickering
2,586,50.0,0,2,Hayden Carter
4,946,50.0,0,2,Jack Vale
3,2174,45.0,0,2,Jake Garrett
2,596,55.0,0,2,Joe Rankin-Costello
3,597,60.0,0,2,John Buckley
3,585,55.0,0,2,Lewis Travis
4,3606,60.0,0,2,Niall Nathan Michael Ennis
3,2531,65.0,0,2,Ryan Hedges
4,599,65.0,0,2,Sam Gallagher
3,293,65.0,0,2,Samuel Szmodics
2,1268,50.0,0,2,Scott Wharton
3,3814,55.0,0,2,Sondre Tronstad
3,1269,65.0,0,2,Tyrhys Dolan
3,1440,60.0,0,3,Alex Scott
3,288,70.0,0,3,Andreas Weimann
3,60,45.0,0,3,Andy King
3,1319,60.0,0,3,Anis Mehmeti
3,2396,45.0,0,3,Ayman Benarous
2,1504,50.0,0,3,Cameron Pring
2,2316,50.0,0,3,George Tanner
3,938,60.0,0,3,Harry Cornick
2,3817,50.0,0,3,Haydon Roberts
3,628,55.0,0,3,Jason Knight
3,434,50.0,0,3,Joe Williams
2,437,50.0,0,3,Kal Naismith
3,2636,55.0,0,3,Mark Sykes
3,1323,50.0,0,3,Matty James
1,1255,45.0,0,3,Max O'Leary
4,305,70.0,0,3,Nahki Wells
2,1679,50.0,0,3,Rob Atkinson
2,1243,50.0,0,3,Robert Dickie
2,3816,50.0,0,3,Ross McCrorie
3,1505,60.0,0,3,Samuel John Bell
1,2724,40.0,0,3,Stefan Bajic
4,1439,65.0,0,3,Tommy Conway
